content,score,thumbsUpCount,cleaned_content,language,sentiment_label,word_count,review_date
"service of spotify has been in constant, and rapid decline. price goes up, algorithm shrinks in variety, and extra pay walls on top of ""premium"". Better off pirating spotify than paying for it at this rate because the product you're paying for isn't worth what you're getting.",1,0,service spotify constant rapid decline price goes algorithm shrinks variety extra pay walls top premium better pirating spotify paying rate product youre paying isnt worth youre getting,en,positive,27,
"Best expirience ever, with the most finest and exclusive music",4,0,best expirience ever finest exclusive music,en,positive,6,
The best.,5,0,best,en,positive,1,
"Also why cant I download song using cellular? Waterpark? ai? forced ai? and then the podcast? and then the book? why? why? i just want music. might as well pay tidal at this point. lossless, no price hike, and no stupid ai",1,0,also cant download song using cellular waterpark ai forced ai podcast book want music might well pay tidal point lossless price hike stupid ai,en,negative,24,
You have to literally pay for everything like you want to a listen to your play list NOPE here's 12 random song and 20 minutes of ads.God forbid you try to use a BASIC function because you because your instantly move to buying premium. Overall I would give this a 0.5 stars.,1,0,literally pay everything like want listen play list nope heres random song minutes adsgod forbid try use basic function instantly move buying premium overall would give stars,en,positive,27,
Is a emotion and love with premium just a emotion,5,0,emotion love premium emotion,en,positive,4,
like this application,4,0,like application,en,positive,2,
this app it's so amazing,5,0,app amazing,en,positive,2,
great collection and good Playlist,5,0,great collection good playlist,en,positive,4,
"So yeah, I'm not a premium user, and i just listen to songs normally. Normal users get an ad sometimes and 30 minutes of uninterrupted listening. Well this ""uninterrupted"" isn't actually uninterrupted. I've got an ad saying uninterrupted at 9:29 and another ad showing uninterrupted popped up at 9:32... I don't know how from 9:29 to 9:32 is considered as 30 minutes. Not only that but the recommendations have become bad too... Same recommended songs play next, no matter what song i play.",2,0,yeah im premium user listen songs normally normal users get ad sometimes minutes uninterrupted listening well uninterrupted isnt actually uninterrupted ive got ad saying uninterrupted another ad showing uninterrupted popped dont know considered minutes recommendations become bad recommended songs play next matter song play,en,positive,44,
that is so good 👍,5,0,good,en,positive,1,
"I have a 90 song Playlist and it keeps playing songs that were not in my Playlist,what's the point of having a Playlist when it won't play the songs that are in that Playlist(please note im a free user and the free user experience is garbage)",1,0,song playlist keeps playing songs playlistwhats point playlist wont play songs playlistplease note im free user free user experience garbage,en,positive,20,
"imean its good back then but, now its just super nerfed",2,0,imean good back super nerfed,en,positive,5,
such a waste application,1,0,waste application,en,negative,2,
Literally this whole app is premium. Free listeners are stuck on a shuffled playlist and they can't even choose what sing they want to listen to. And 6 skips per hour is ridiculous honestly. Just give free listeners the basics Spotify.,2,0,literally whole app premium free listeners stuck shuffled playlist cant even choose sing want listen skips per hour ridiculous honestly give free listeners basics spotify,en,positive,25,
GREAT 👍😃 highly recommend,5,0,great highly recommend,en,positive,3,
He supports the Isra555eli occupation.,1,0,supports israeli occupation,en,positive,3,
can't open all the playlist,2,0,cant open playlist,en,neutral,3,
Not worth it if you don't pay. Can make Playlists but it won't play the songs just suggestions based on the list. Plays 3 ads for every 2 songs. Just frustrating,2,0,worth dont pay make playlists wont play songs suggestions based list plays ads every songs frustrating,en,negative,16,
it's awesome 👌,5,0,awesome,en,positive,1,
The music apps... I love it,5,0,music apps love,en,positive,3,
veyyy very good I love it,5,0,veyyy good love,en,positive,3,
"The constant ads are so annoying that I'd rather go and buy physical media or digital CDs for my favorite artists and albums so I'll have their music offline. I'll get another free app if I want to discover new music. It randomly stops playing music. Some of the playlists are ok on Spotify, but a bunch of them aren't as good and just have the same songs as the other playlists. The algorithm isn't great. Some of the music didn't download offline either when I had premium.",1,0,constant ads annoying id rather go buy physical media digital cds favorite artists albums ill music offline ill get another free app want discover new music randomly stops playing music playlists ok spotify bunch arent good songs playlists algorithm isnt great music didnt download offline either premium,en,negative,47,
number one app that has good music all type of genres download it now you won't regret yourself 👌,5,0,number one app good music type genres download wont regret,en,positive,10,
so easy to use,5,0,easy use,en,positive,2,
I hate VIP VIP is so stupid like you have to pay a bunch of stuff I need to listen to it online or something that's going to happen because I need to listen to good music also they don't have YouTube music which is really bad so I don't really like this app I know I'm a kid but yeah my dad likes it I don't know if she hi VIP or not I know this is a long thing but you know I really just can't stand though you have anything I can't buy it because it's something a month literally no one can afford,1,0,hate vip vip stupid like pay bunch stuff need listen online something thats going happen need listen good music also dont youtube music really bad dont really like app know im kid yeah dad likes dont know hi vip know long thing know really cant stand though anything cant buy something month literally one afford,en,positive,55,
why am i paying for this app and it doesn't let me play certain songs on my like list and its always playing the same songs,1,0,paying app doesnt let play certain songs like list always playing songs,en,positive,12,
I LIKE THE DEMON SLAYER Collab!!😍 PLEASE MAKE MORE ANIME COLLAB.😁,4,0,like demon slayer collab please make anime collab,en,positive,8,
"the ads, it's the ads..... they're freaking killing me :,)",3,0,ads ads theyre freaking killing,en,negative,5,
10/10 love Spotify but ads can be annoying but overall still good to use and can use this for Alarm clock :),5,0,love spotify ads annoying overall still good use use alarm clock,en,positive,11,
Have a lot of great music and the app is superb. They also have many different types of music that oli listen to. from the oldies to modern rock and new age music.,5,0,lot great music app superb also many different types music oli listen oldies modern rock new age music,en,positive,18,
satisfied 😄😄,5,0,satisfied,en,positive,1,
"Really good, but i want to donwload but spotify premium",5,0,really good want donwload spotify premium,en,positive,6,
love the experience,5,0,love experience,en,positive,2,
Love listening to music on Spotify.,5,0,love listening music spotify,en,positive,4,
it's smooth and personal,5,0,smooth personal,en,neutral,2,
really well balance.. you have a great variety of songs. popular ones too. all albums. its great. the only down fall of it is that it doesn't show the whole track or album you are on.. so once you listened to a song. it does not show at all. only the up next. it also does not show the complete rest of track. just most 15-20 songs..,4,0,really well balance great variety songs popular ones albums great fall doesnt show whole track album listened song show next also show complete rest track songs,en,positive,26,
"Spotify is frustrating to use. I created playlists expecting smooth playback, but instead of continuing to the next song, it randomly plays tracks I never added, often ones I only searched before. This forces me to manually select songs every time, ruining the flow. Even with autoplay off, the issue continues. A playlist should respect my choices, not push unwanted recommendations. The app feels clunky and takes away the joy of listening.",1,0,spotify frustrating use created playlists expecting smooth playback instead continuing next song randomly plays tracks never added often ones searched forces manually select songs every time ruining flow even autoplay issue continues playlist respect choices push unwanted recommendations app feels clunky takes away joy listening,en,positive,45,
prolly wrost app on earth,5,0,prolly wrost app earth,en,neutral,4,
Good App,5,0,good app,en,positive,2,
best app for listening to music,5,0,best app listening music,en,positive,4,
L app needs money for everything can't use it sorry,1,0,l app needs money everything cant use sorry,en,positive,8,
I will end whoever created smart shuffle.,5,0,end whoever created smart shuffle,en,positive,5,
Mind-blowing,5,0,mindblowing,en,neutral,1,
this is my favorite app,5,0,favorite app,en,positive,2,
that's good 👍🏻😊 and I used to listen when I am gaming,5,0,thats good used listen gaming,en,positive,5,
"Before it was awesome but lately it's been saying ""you need premium for this"". Annoying now because like, let me choose and enjoy my music, only six, SIX. Skips per hour too.",1,0,awesome lately saying need premium annoying like let choose enjoy music six six skips per hour,en,positive,16,
it's good.. but i can't find a certain song,4,0,good cant find certain song,en,negative,5,
love all the podcast and songs!,5,0,love podcast songs,en,positive,3,
"I miss it when it was free to choose whatever song you want to play without going through a bunch of others. It's gone downhill after they added that to premium only. I don't get the point in doing this. Instead, it only turns away people from wanting to use the app.",2,0,miss free choose whatever song want play without going bunch others gone downhill added premium dont get point instead turns away people wanting use app,en,positive,25,
Love listening to music and podcasts on Spotify.,5,0,love listening music podcasts spotify,en,positive,5,
I love this app and I wish it was free,5,0,love app wish free,en,positive,4,
"Awful recent changes, if it goes like this many would be switching to different music app soon",1,1,awful recent changes goes like many would switching different music app soon,en,negative,12,
good experience,5,0,good experience,en,positive,2,
It started popping ads when I played a song while my sister who isn't on premium either doesn't have this problem. Is it an Android thing or? I just wanted it to pop up the song and possible songs within the playlist.. one star because these changes are really annoying. I have restarted my phone and reinstalled the app twice! I have proof of this. It has gone downhill. Now I can't find any of the searched songs unless they are in playlists..I am disappointed and quite frankly ashamed.,1,0,started popping ads played song sister isnt premium either doesnt problem android thing wanted pop song possible songs within playlist one star changes really annoying restarted phone reinstalled app twice proof gone downhill cant find searched songs unless playlistsi disappointed quite frankly ashamed,en,negative,43,
I'm not paying to listen to no music.Two minute commercial when I play my music I don't hear no conversation at all,1,0,im paying listen musictwo minute commercial play music dont hear conversation,en,negative,11,
can't choose songs unless I have premium? crazy. I can't even choose the songs of my choice unless I get premium???,2,0,cant choose songs unless premium crazy cant even choose songs choice unless get premium,en,negative,14,
good but now most of the things happens when we get premium,4,0,good things happens get premium,en,positive,5,
"Regardless of a very lengthy startup, it works well now.",5,1,regardless lengthy startup works well,en,positive,5,
as a Muslim we all know that music is Haram and it just distract our minds like we are absorbed some where...,1,0,muslim know music haram distract minds like absorbed,en,positive,8,
I love Spotify music songs ❤️❤️.,5,0,love spotify music songs,en,positive,4,
BENERIN BUGNYA WOII MASA BLEND BISA TIBA-TIBA ILANG‼️,1,0,benerin bugnya woii masa blend bisa tibatiba ilang,en,neutral,8,
"The student subscription is a premium account, very affordable, and it would be a major oversight to not subscribe to Spotify at this price, and it also comes with basic Hulu. What a great way to add quality of life and some extra class to my stressful daily routine.",5,0,student subscription premium account affordable would major oversight subscribe spotify price also comes basic hulu great way add quality life extra class stressful daily routine,en,positive,25,
"im having big problems with my premium account, my phone broke and I don't no my account details, and your still taking money out,12.and some change,And I can't get it even ported over to my other phone im texting you about what's going on,really sad.ive started when it was 7 now its 12 wow and the service haven't reflected the price.",1,0,im big problems premium account phone broke dont account details still taking money outand changeand cant get even ported phone im texting whats going onreally sadive started wow service havent reflected price,en,neutral,32,
"personalize your songs,create your own mix and more just perfect for listenig to music 🎶 🎵 👌 🙌",5,0,personalize songscreate mix perfect listenig music,en,positive,6,
the recommendations have gotten worse. It feels as though they're actively making their platoform worse.,1,0,recommendations gotten worse feels though theyre actively making platoform worse,en,negative,10,
"Literally, I love songs.So this is my favourite.",5,0,literally love songsso favourite,en,positive,4,
excellent an wisefulous app I ever used,5,0,excellent wisefulous app ever used,en,positive,5,
I love this app! I can't think of a single song that I thought of that I have not been able to find!,5,0,love app cant think single song thought able find,en,positive,9,
it is helpful but sometimes doenst work,4,0,helpful sometimes doenst work,en,positive,4,
"Just to be clear, no ads with a paid subscription, but easy to navigate and includes podcast.",4,0,clear ads paid subscription easy navigate includes podcast,en,positive,8,
it is a great app in paid version. if unpaid the ads are frustrating!,5,0,great app paid version unpaid ads frustrating,en,positive,7,
30 mins of no ads gets ads 5 mins later,1,1,mins ads gets ads mins later,en,negative,6,
just average audio. uninstalled it. you need to learn from apple music.,1,0,average audio uninstalled need learn apple music,en,neutral,7,
so good and cool to hear music,5,0,good cool hear music,en,positive,4,
Spotify is definitely the best imho.,5,0,spotify definitely best imho,en,positive,4,
"So yall dont know what 30 mins is? ""Here is 30 minutes of ad free listening."" Sorry but 8:16 to 8:24 is for SURE not half an hour. Didnt skip, didnt exit, I just let it play. This is why you dont get premium out of me. You lie. I also click a song and it plays a random one.",1,0,yall dont know mins minutes ad free listening sorry sure half hour didnt skip didnt exit let play dont get premium lie also click song plays random one,en,positive,28,
really² love this apps!!,5,0,really love apps,en,positive,3,
it has been one of the music platforms in the world,3,0,one music platforms world,en,neutral,4,
excellent to listen to music and podcast,5,0,excellent listen music podcast,en,positive,4,
"stop throwing ""suggested for you"" songs while listening to my playlist..very annoying..if i wanted those songs I would have added them already!!",3,0,stop throwing suggested songs listening playlistvery annoyingif wanted songs would added already,en,negative,12,
"Too many bloated features and users are not allowed to customize the settings to suit their use case. (for example, disable those unwanted features, and set default player to the current device, continue the playlist on the current device rather than another device previously used)",3,0,many bloated features users allowed customize settings suit use case example disable unwanted features set default player current device continue playlist current device rather another device previously used,en,negative,28,
it's good for listening all melodious songs,5,0,good listening melodious songs,en,positive,4,
The updated nice music is amazing..,5,0,updated nice music amazing,en,positive,4,
I love this app 10/10000,5,0,love app,en,positive,2,
worst update ever ... can't play downloaded songs even if you are spotify subscriber,1,0,worst update ever cant play downloaded songs even spotify subscriber,en,negative,10,
no 1 worst app,1,0,worst app,en,negative,2,
I love Spotify so much. it's a great app but there are other apps out there if you want free offline listening and unlimited skips and repeats,3,0,love spotify much great app apps want free offline listening unlimited skips repeats,en,positive,13,
instruction does not match what I see on my screen,1,0,instruction match see screen,en,neutral,4,
good so much fun easy to use,5,0,good much fun easy use,en,positive,5,
"it's very good, in other it's five star experience but I'm giving it a 4, reasons... Themes, lyrics in vernac ( South African languages) don't appear.",4,0,good five star experience im giving reasons themes lyrics vernac south african languages dont appear,en,positive,15,
"As a long-time user and a premium user at times, this has been my to go for music, I tried downloading mp3 files but it's boring and it takes time and since the new update is up I feel like a premium user just minus the ads and smart shuffle",5,0,longtime user premium user times go music tried downloading mp files boring takes time since new update feel like premium user minus ads smart shuffle,en,positive,25,
"need to make the ""buttons"" on the lock screen bigger",4,0,need make buttons lock screen bigger,en,neutral,6,
Good 💯 to vibes and entertain 😊,5,0,good vibes entertain,en,positive,3,
"I like it , I just feel like Spotify should let us pick what songs we want to play .",4,0,like feel like spotify let us pick songs want play,en,positive,10,
"'You discovered a premium feature', cannot listen to even one song. If there is a free option, it should at least work. it seems that travelling a lot it just can't keep up where I'm at, and it is so annoying to be blocked just because moving around",1,0,discovered premium feature cannot listen even one song free option least work seems travelling lot cant keep im annoying blocked moving around,en,negative,22,
"can yall PLEASE stop changing the damn interface. I hate it when every single day I join the app and there's something different, sure new stuff is cool but if you're gonna do it, do it at ONCE and LET IT BE THAT WAY FOR ATLEAST A MONTH!! also WHY can't I see the amount of times I played a song anymore?? aren't I paying premium?You can't just take away stuff from the service we're paying for and expect it to be okay?? Spotify just keeps letting me down every single day, I swear.",1,0,yall please stop changing damn interface hate every single day join app theres something different sure new stuff cool youre gonna let way atleast month also cant see amount times played song anymore arent paying premiumyou cant take away stuff service paying expect okay spotify keeps letting every single day swear,en,positive,51,
"I love Spotify,but there are a bunch of ads but love it!",5,0,love spotifybut bunch ads love,en,positive,5,
Spotify Music and Pod,5,0,spotify music pod,en,neutral,3,
Good service,5,0,good service,en,positive,2,
"The Ai DJ X must be pay to win now. I'm emo and I'll open up DJ and he'll say ""here's hip hop"" skips ""here's spotify top 50"" skip ""here's Brittany Spears"" skip ""here's reggae"" THIS AI HAS BEEN DOING THIS ALL WEEK! I only listen to pop punk, midwest emo, and everything under the rock category. I'm not hard to understand. you know the band that's all like ""I'M SAD SHE BROKE UP WITH ME!!"" put that one on I'll be happy! I use spotify all the time and he used to play things that were relavant to me.",1,0,ai dj x must pay win im emo ill open dj hell say heres hip hop skips heres spotify top skip heres brittany spears skip heres reggae ai week listen pop punk midwest emo everything rock category im hard understand know band thats like im sad broke put one ill happy use spotify time used play things relavant,en,positive,58,
great music. too many ads.,4,0,great music many ads,en,positive,4,
exceptional. I love Spotify!,5,0,exceptional love spotify,en,positive,3,
i will delete my account due to their support of sionism/ killrahell. ☺️,1,1,delete account due support sionism killrahell,en,positive,6,
"not able to find where i can cancel my plan and stop auto renew button in App last 2 months i facing issue and my money loss, This Dark pattern i will inform it sector if you not return my money.",1,0,able find cancel plan stop auto renew button app last months facing issue money loss dark pattern inform sector return money,en,negative,21,
keeps getting better they should improve the AI DJ tho,5,0,keeps getting better improve ai dj tho,en,positive,7,
its spotify. what else could you want free music with ads not horrible premium definitely worth it though.,5,0,spotify else could want free music ads horrible premium definitely worth though,en,positive,12,
I enjoy the selection of traditional German music as well as the vast relaxation music,5,0,enjoy selection traditional german music well vast relaxation music,en,positive,9,
always cramming ads into my premium membership.,1,0,always cramming ads premium membership,en,neutral,5,
"l love to be able to listen via my phone or car to my fave genre of music. I'm not tech savvy at age 74 but I can work the app easily. I also like the way I can listen to music In my library without Bluetooth, on a plane for example.",5,0,l love able listen via phone car fave genre music im tech savvy age work app easily also like way listen music library without bluetooth plane example,en,positive,27,
the free version right now is so good,4,0,free version right good,en,positive,4,
"every update a feature breaks which is crazy considering i pay for PREMIUM. once play queue is done its supposed to continue with recommended songs or my playlist but stops altogether. why am i paying for features that dont even work.Hiding songs doesnt work anymore, songs that i dont even play are auto added to On Repeat since spotify pushes the SAME 12 SONGS. So frustrating literally what am I paying for besides no ads that's the ONLY feature that works properly",1,2,every update feature breaks crazy considering pay premium play queue done supposed continue recommended songs playlist stops altogether paying features dont even workhiding songs doesnt work anymore songs dont even play auto added repeat since spotify pushes songs frustrating literally paying besides ads thats feature works properly,en,negative,47,
its good😊,4,0,good,en,neutral,1,
Could be less expensive and have more settings to stop playing automaticaly.,2,0,could less expensive settings stop playing automaticaly,en,negative,7,
very cool,5,0,cool,en,positive,1,
"I wont support or take part in a platform that robs the people who bring them customers in the first place. I also wont be a part of a system that spies on people anymore. Corporate spying is not okay. If we wouldn't put up with it from the government, why would we put up with it from you? because of consumerism? because you give us things? nah.",1,0,wont support take part platform robs people bring customers first place also wont part system spies people anymore corporate spying okay wouldnt put government would put consumerism give us things nah,en,negative,31,
enjoy using Spotify for all my listening experiences,5,0,enjoy using spotify listening experiences,en,positive,5,
I can click on ANY song i want and its friggin awesome,5,0,click song want friggin awesome,en,positive,5,
I almost never hear songs from my playlist anymore it reccomends songs based on my playlist that I don't like or have never listened to when I can go to apps that have ads but give me the songs I like. What's the point of ad revenue if it's for songs you don't want on top of that? I missed when I had control over what I listen to.,1,0,almost never hear songs playlist anymore reccomends songs based playlist dont like never listened go apps ads give songs like whats point ad revenue songs dont want top missed control listen,en,negative,31,
"Great App Experience, Especially On The Premium Membership Package",5,0,great app experience especially premium membership package,en,positive,7,
Everytime I try to listen to my like music it don't let me listen to it can you please fix this glitch,4,0,everytime try listen like music dont let listen please fix glitch,en,positive,11,
I love the music recommendations based on my favourite singers. Please add Psalty Kids praise albums 6 to 10. My children are loving Psalty as much as I did as a child.,4,0,love music recommendations based favourite singers please add psalty kids praise albums children loving psalty much child,en,positive,17,
"the best music app ever, but there are a lot of annoying ads",3,0,best music app ever lot annoying ads,en,negative,7,
what's there to say,5,0,whats say,en,neutral,2,
"reinstalled it, and after a few days... what? all songs just gone! playists are blank with no covers and singles hvae a cover but no song when you click them.",1,0,reinstalled days songs gone playists blank covers singles hvae cover song click,en,negative,12,
it was soooooooooo amazing honestly YT music and other apps are more hard to add stuff to your playlist so this is best option and it is very easy to find the song you want just search.,5,0,soooooooooo amazing honestly yt music apps hard add stuff playlist best option easy find song want search,en,positive,17,
love the podcasts,5,0,love podcasts,en,positive,2,
it's really good for music but some of the podcasts aimed at kids are introducing them to Inappropriate people 🌽 so check what you're kids are doing on it,4,0,really good music podcasts aimed kids introducing inappropriate people check youre kids,en,positive,12,
"guys the free version was a scam. today after the update, they've gone back to their ways. 30 second ads turned to a whole MINUTE. skips unlimited? nah, just 6 skips per hour. now you cant choose which song to play. never before have i saw such a greedy company. god forbid i want to listen to music for free. 😂",1,0,guys free version scam today update theyve gone back ways second ads turned whole minute skips unlimited nah skips per hour cant choose song play never saw greedy company god forbid want listen music free,en,positive,35,
I love this app,5,0,love app,en,positive,2,
"Just installed and signed up for premium because I heard Spotify finally has lossless. I'm east coast US. From what I can see, it's supposed to be live here... However, lossless is not an option in quality settings. only ""very high"". I tried to use the AI support in the app but that was useless. Guess I'll just stick to Tidal for now.",2,1,installed signed premium heard spotify finally lossless im east coast us see supposed live however lossless option quality settings high tried use ai support app useless guess ill stick tidal,en,negative,30,
wonderful Dolly Parton,5,0,wonderful dolly parton,en,positive,3,
Great app,4,0,great app,en,positive,2,
it be good. I just don't like the ads 🙁,4,0,good dont like ads,en,positive,4,
love it and it keeps me in the Riley Green News.,5,1,love keeps riley green news,en,positive,5,
"Too much advertisement, nither we can play whole album.",1,0,much advertisement nither play whole album,en,positive,6,
Not sure how we've survived this long without apps like this,5,1,sure weve survived long without apps like,en,positive,7,
would give 5 stars if they have higher bit rate music,4,0,would give stars higher bit rate music,en,neutral,7,
premium is so worth it... love you spotify devs dont go bald,5,0,premium worth love spotify devs dont go bald,en,positive,8,
"non premium sorta of sucks and there is no song videos, but overall it is still a bit better than yt music",4,0,non premium sorta sucks song videos overall still bit better yt music,en,positive,12,
"Worst app ever it was good first bit as the time flew it got worse worser and now the most worst It shows ad after every song and says they will geve 30 min break but after a 1 minute song you are again given the same damn ads listening music in youtube is more better than this,we can't even listen quene all for only prime users like hell never gonna use it again.I wish there was a rating less than 1 then i would i have happily given that to this app",1,0,worst app ever good first bit time flew got worse worser worst shows ad every song says geve min break minute song given damn ads listening music youtube better thiswe cant even listen quene prime users like hell never gonna use againi wish rating less would happily given app,en,negative,49,
I love it :D,5,0,love,en,positive,1,
"nice music app easy to use and reliable to get any of your fav songs ,i recommend you guys to Spotify as long as music is concern this the best ive seen 👌",5,0,nice music app easy use reliable get fav songs recommend guys spotify long music concern best ive seen,en,positive,18,
"I love the fact that I can still listen to my playlist while navigating through other apps. It really sets my day when I'm working and have this freedom, AWESOME!!!!!! 😇👍❤️‍🔥",5,0,love fact still listen playlist navigating apps really sets day im working freedom awesome,en,positive,14,
listen to the music all ad free when you get premium,5,0,listen music ad free get premium,en,positive,6,
Before the app with actually horrible but now it seems they fixed it up although there are repetitive ads that's not too bad,5,2,app actually horrible seems fixed although repetitive ads thats bad,en,neutral,10,
Can't complain yet just happy 😊 so far,5,0,cant complain yet happy far,en,positive,5,
Good app. No ads during songs.,5,1,good app ads songs,en,positive,4,
Pretty good music app,4,0,pretty good music app,en,positive,4,
"it says I bought premium, and I did but did not register, and it now gives me ads and not unlimited skips. I WANT MY MONEY BACK NOW!!!!!!!",1,0,says bought premium register gives ads unlimited skips want money back,en,negative,11,
"Even if you don't know what to play, it will find something good to listen to.",5,0,even dont know play find something good listen,en,positive,8,
I’m deleting Spotify because I won’t support a company tied to war profiteering and genocide. Music should never come at the cost of human lives,1,0,im deleting spotify wont support company tied war profiteering genocide music never come cost human lives,en,negative,16,
"I love the fact that it can be used on the background without paying a cent. Good job, developers.",5,0,love fact used background without paying cent good job developers,en,positive,10,
"Would be nice to have atmos, especially for new mixes of some late 90s and 2000s music that has always sounded harsh and lofi.",3,2,would nice atmos especially new mixes late music always sounded harsh lofi,en,neutral,12,
feel... relaxing... peace... mood... All in Spotify...,5,0,feel relaxing peace mood spotify,en,neutral,5,
listen to music through Spotify is amazing it is so reliable. I love using this app and I recommend it to everyone.,5,0,listen music spotify amazing reliable love using app recommend everyone,en,positive,10,
free revanced,1,0,free revanced,en,positive,2,
Embarrassingly poor podcast support,2,0,embarrassingly poor podcast support,en,negative,4,
Great Podcasts 👍🏼👍🏼👍🏼,5,0,great podcasts,en,positive,2,
"everyday playing music 🎼🎼, This app is lit",5,0,everyday playing music app lit,en,positive,5,
